HIP,,,AbsMag,X,Y,Z,name,Constellation
8832,,,-0.104835565,52.0289,28.11122,20.70282,Mesarthim,Aries
8903,,,1.331523965,14.98444,8.19007,6.48963,Sheratan,Aries
9884,,,0.482148455,15.75753,9.76736,8.04675,Hamal,Aries
13209,,,0.163466562,32.0505,29.36453,22.3981,Bharani,Aries
100064,,,0.966329977,18.42959,-26.80179,-7.23771,,Capricorn
100345,,,-2.065958313,58.86945,-83.29004,-26.91264,,Capricorn
102485,,,3.297647909,8.79537,-9.93296,-6.26309,,Capricorn
102978,,,-2.304163211,117.07006,-125.73835,-87.23167,,Capricorn
104139,,,0.650389959,33.60785,-31.90762,-14.37425,,Capricorn
105515,,,0.17919464,48.85726,-40.18671,-19.14138,,Capricorn
105881,,,-1.663580491,88.54336,-70.01072,-46.55115,,Capricorn
106985,,,0.543490463,33.43145,-23.3896,-12.21164,,Capricorn
107556,,,2.486338404,9.49948,-6.22587,-3.28399,,Capricorn
15900,,,-0.449578131,40.12922,49.91691,10.17739,,Taurus
17847,,,-1.71509589,57.57939,89.65657,47.56007,,Taurus
18724,,,-1.865120458,55.12531,96.1378,24.54887,,Taurus
20205,,,0.27860429,19.26245,41.21088,12.72486,,Taurus
20455,,,0.410878307,18.40623,40.82882,14.15756,,Taurus
20648,,,1.017042969,17.29403,39.53209,13.96015,,Taurus
20889,,,0.145228677,17.42892,41.36853,15.61528,,Taurus
20894,,,0.101228808,17.05254,40.49776,12.49298,,Taurus
21421,,,-0.631244842,6.86574,17.86724,5.67336,,Taurus
21881,,,-1.176877976,37.64624,106.67205,47.91643,,Taurus
25428,,,-1.369875517,5.16912,34.89105,19.23714,,Taurus
26451,,,-2.563966235,11.61547,118.70231,46.12407,,Taurus
40526,,,-1.218101219,-49.31989,72.76596,14.21497,,Cancer
40843,,,3.83851492,-9.24901,13.20104,8.2905,,Cancer
42806,,,1.227226852,-29.56035,34.21977,17.78382,,Cancer
42911,,,0.83834017,-26.09679,29.84028,12.99901,,Cancer
43103,,,-0.77491339,-53.27932,59.85341,43.98006,,Cancer
44066,,,0.629633901,-36.58503,37.07142,10.93576,,Cancer
47908,,,-1.458613517,-58.6315,38.86192,30.98651,,Leo
48455,,,0.827602329,-31.14853,19.31931,17.88263,,Leo
49583,,,-5.596542846,-551.71002,295.4136,188.50192,,Leo
49669,,,-0.519105371,-20.53948,10.87804,4.92638,,Leo
50335,,,-1.075051803,-65.76209,31.82956,31.64215,,Leo
50583,,,-0.918476559,-32.83705,15.31751,13.07493,,Leo
54872,,,1.321010766,-16.23869,3.29591,6.20311,,Leo
54879,,,-0.350636616,-51.46007,10.4134,14.49111,,Leo
57632,,,1.915069515,-10.72237,0.512,2.79061,,Leo
57380,,,-0.870661405,-95.16529,5.87911,10.91364,,Virgo
60030,,,0.9,-99.6589,-8.13725,-1.37378,,Virgo
61941,,,2.375054345,-11.63142,-2.13826,-0.29925,,Virgo
63090,,,-0.574522298,-60.14908,-14.88763,3.67874,,Virgo
63608,,,0.368953415,-29.6505,-8.2478,5.9595,,Virgo
65474,,,-3.545898098,-73.47908,-28.64586,-15.56035,,Virgo
66249,,,1.624238542,-20.55657,-9.01257,-0.23346,,Virgo
68520,,,0.101752987,-57.704,-33.87044,1.8042,,Virgo
69427,,,0.000276459,-56.4169,-36.95183,-12.22457,,Virgo
69701,,,2.41844354,-17.6393,-11.89951,-2.2362,,Virgo
71957,,,2.513391834,-14.07744,-12.13626,-1.84124,,Virgo
72220,,,0.749889818,-29.49998,-26.15677,1.30303,,Virgo
72622,,,0.879133566,-16.71175,-15.43191,-6.54048,,Libra
73714,,,-1.509734134,-56.21493,-58.24839,-38.23379,,Libra
74785,,,-0.843979102,-31.59964,-36.67574,-7.99955,,Libra
76333,,,0.564097332,-26.60735,-36.46294,-11.91734,,Libra
77853,,,0.637320366,-25.02537,-40.76763,-14.3784,,Libra
78265,,,-2.853708256,-63.78159,-109.20601,-61.99426,,Scorpio
78401,,,-3.162219854,-56.69565,-98.53062,-47.3699,,Scorpio
78820,,,-3.495624421,-73.32734,-134.26492,-55.09373,,Scorpio
80763,,,-5.278031201,-63.85476,-153.03932,-82.43231,,Scorpio
81266,,,-2.778791121,-41.66072,-108.36402,-62.29199,,Scorpio
82396,,,0.778325813,-4.97186,-15.80979,-11.30229,,Scorpio
82514,,,-4.006047466,-58.10284,-189.66291,-155.24236,,Scorpio
82671,,,-10.3,-2098736.075,-7084698.111,-6738127.304,,Scorpio
84143,,,1.612918577,-3.31408,-15.64288,-15.03592,,Scorpio
85927,,,-5.047410097,-19.74938,-170.74621,-130.01296,,Scorpio
86228,,,-2.745904085,-6.02696,-60.70066,-56.87827,,Scorpio
86670,,,-3.375223375,-8.43517,-110.17788,-89.57697,,Scorpio
87073,,,-5.70964306,-22.74761,-419.50347,-354.11196,,Scorpio
102618,,,-0.45702961,46.37043,-51.64643,-11.60967,,Aquarius
106278,,,-3.466363955,148.91335,-112.6645,-18.21423,,Aquarius
109074,,,-3.882657722,204.26809,-111.15821,-1.29813,,Aquarius
109139,,,0.672309021,45.18918,-24.42433,-12.68317,,Aquarius
110003,,,0.327347952,52.35247,-25.29894,-7.94751,,Aquarius
110395,,,0.436702383,43.98013,-20.12291,-1.17133,,Aquarius
110960,,,1.143619854,29.23925,-12.28654,-0.0111,,Aquarius
111123,,,0.267759414,73.95767,-30.38998,-15.07626,,Aquarius
111497,,,0.288437139,52.47985,-20.31464,-0.11526,,Aquarius
112716,,,-1.282563561,107.98168,-34.25804,-27.39108,,Aquarius
112961,,,-1.666774993,113.89225,-34.48676,-15.83491,,Aquarius
113136,,,-0.177595543,45.16981,-13.24053,-13.338,,Aquarius
114341,,,-0.595572909,65.17929,-14.61528,-25.87226,,Aquarius
114855,,,0.949150285,44.1153,-8.59753,-7.18916,,Aquarius
115438,,,0.480297331,46.02094,-7.50082,-17.06382,,Aquarius
28734,,,0.836286282,-0.76319,42.4468,18.25149,,Gemini
29655,,,-1.838265619,-6.4167,98.7032,40.98431,,Gemini
30343,,,-1.388529513,-6.56655,65.3273,27.21441,,Gemini
30883,,,-1.808776516,-18.22465,143.44159,53.23536,,Gemini
31681,,,-0.604802058,-5.04957,30.40998,9.07235,,Gemini
32246,,,-4.15246399,-47.77938,246.19265,117.64315,,Gemini
32362,,,2.130136065,-3.35639,16.76262,3.91411,,Gemini
33018,,,-0.30076807,-11.41402,48.67446,33.67292,,Gemini
34088,,,-3.761978984,-92.64907,322.5271,125.93418,,Gemini
34693,,,-0.42087153,-24.40955,76.09546,46.596,,Gemini
35350,,,1.27475281,-9.26169,26.12036,8.23048,,Gemini
35550,,,2.219507752,-5.7281,15.71155,6.7506,,Gemini
36046,,,0.84649882,-12.47983,31.79254,18.00618,,Gemini
36850,,,0.585989172,-5.38337,12.29279,8.34945,,Gemini
36962,,,-0.277100762,-26.71078,60.04778,33.33621,,Gemini
37740,,,0.352997179,-17.63404,35.97657,18.1731,,Gemini
37826,,,1.088030415,-4.04731,8.17808,4.85711,,Gemini
1645,,,-0.035099763,119.34693,10.75522,17.24702,,Pisces
3760,,,-0.615765404,196.74613,42.07912,25.77347,,Pisces
4889,,,-0.020126338,103.95528,29.22937,66.9657,,Pisces
4906,,,0.440054088,55.62481,15.67321,8.00892,,Pisces
5742,,,-0.647431288,99.84693,33.28672,48.15082,,Pisces
6193,,,-0.156122559,79.69521,28.79668,43.66944,,Pisces
7007,,,-0.376757104,101.46628,42.12334,11.82612,,Pisces
7097,,,-1.155342269,80.12015,33.79598,23.86334,,Pisces
7884,,,-0.812831391,101.52464,48.11616,10.79349,,Pisces
8198,,,-0.232983247,70.04679,34.69276,12.60105,,Pisces
8833,,,0.776250048,51.33721,27.74507,3.24975,,Pisces
9487,,,0.670714235,36.6961,21.62572,2.0562,,Pisces
114971,,,0.68274019,39.36465,-7.44545,2.29753,,Pisces
115738,,,1.468139882,49.1735,-7.14477,1.0893,,Pisces
115830,,,0.833002196,47.91228,-6.74014,5.40926,,Pisces
116771,,,3.431989526,13.67223,-1.19935,1.35233,,Pisces
116928,,,2.041384222,30.7737,-2.41545,0.95951,,Pisces
118268,,,1.471343077,32.25565,-0.0971,3.88258,,Pisces
87072,,,-3.062786857,-15.83363,-291.42841,-154.0797,,Saggittarius
88635,,,0.63355919,0.64387,-25.39857,-14.92014,,Saggittarius
89341,,,-10.95303657,509.18085,-8468.45127,-3266.60312,,Saggittarius
89642,,,-0.200756085,2.81494,-36.52341,-27.36544,,Saggittarius
89931,,,-2.139177903,7.43729,-80.96391,-46.61654,,Saggittarius
90185,,,-1.444267269,3.85283,-36.39388,-25.04395,,Saggittarius
90496,,,0.946562255,2.6056,-21.24307,-10.17227,,Saggittarius
92041,,,-1.077752953,12.4711,-61.77204,-32.09668,,Saggittarius
92855,,,-2.137177967,14.72463,-59.87436,-30.4689,,Saggittarius
93085,,,-1.767479469,26.54302,-103.136,-41.10783,,Saggittarius
93506,,,0.417998644,6.39018,-22.80559,-13.60794,,Saggittarius
93683,,,0.614415084,11.01263,-37.97857,-15.76914,,Saggittarius
93864,,,0.484045025,9.41374,-31.30778,-17.14195,,Saggittarius
94820,,,-1.196913537,51.60732,-146.47604,-53.33177,,Saggittarius
95168,,,1.059863568,12.39572,-33.29867,-11.4401,,Saggittarius
95294,,,1.127186587,10.71539,-28.20193,-29.95875,,Saggittarius
95347,,,0.376506144,14.15009,-36.9172,-33.90528,,Saggittarius
96406,,,0.891898781,32.90887,-73.89068,-37.23674,,Saggittarius
98032,,,0.302686307,20.81941,-37.84638,-38.71358,,Saggittarius
98412,,,-2.016830387,77.15428,-133.99102,-109.37863,,Saggittarius
98688,,,-1.259343103,62.02165,-104.6043,-63.87289,,Saggittarius
