Capricorn,100064,100345,100345,104139,104139,105515,105515,106985,106985,107556,105515,105881,105881,104139,100345,102485,104139,102978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aries,13209,9884,9884,8903,8903,8832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taurus,25428,21881,21881,20889,21421,26451,20205,20455,20205,18724,18724,15900,21421,20889,21421,20894,20894,20205,20889,20648,20648,20455,20455,17847,,,,,,,,,,,,,,,,,,,,,,,,
Cancer,43103,42806,42806,40843,42806,42911,42911,40526,42911,44066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo,57632,54879,54879,49669,49669,49583,49583,50583,50583,54872,54872,57632,50583,50335,50335,48455,48455,47908,54872,54879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgo,57380,60030,60030,61941,61941,65474,65474,69427,69427,69701,69701,71957,65474,66249,66249,68520,68520,72220,66249,63090,63090,63608,63090,61941,,,,,,,,,,,,,,,,,,,,,,,,
Libra,77853,76333,76333,74785,74785,72622,72622,73714,73714,76333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpio,85927,86670,86670,87073,87073,86228,86228,84143,84143,82671,82671,82514,82514,82396,82396,81266,81266,80763,80763,78401,80763,78265,80763,78820,,,,,,,,,,,,,,,,,,,,,,,,
Aquarius,106278,109074,109074,110395,110395,110960,110960,111497,111497,112961,112961,114855,114855,115438,109074,110003,110003,109139,110003,111123,111123,112716,112716,113136,113136,114341,102618,106278,,,,,,,,,,,,,,,,,,,,
Gemini,31681,34088,34088,35550,35550,35350,35350,32362,35550,36962,36962,37740,36962,37826,36962,36046,36046,34693,34693,36850,34693,33018,34693,32246,32246,30883,32246,30343,30343,29655,29655,28734,,,,,,,,,,,,,,,,
Pisces,4889,5742,4889,6193,6193,5742,5742,7097,7097,8198,8198,9487,9487,8833,8833,7884,7884,7007,7007,4906,4906,3760,3760,1645,1645,118268,118268,116771,116771,116928,116928,115738,115738,114971,114971,115830,115830,116771,,,,,,,,,,
Saggittarius,89931,90496,89642,90185,90185,88635,88635,87072,88635,89931,89931,90185,90185,93506,93506,92041,92041,89931,92041,90496,90496,89341,93506,93864,93864,92855,92855,92041,92855,93085,93085,93683,93683,94820,94820,95168,93864,96406,96406,98688,98688,98412,98412,98032,98032,95347,98032,95294
